model,R2,MAE,RMSE
linear_regression,0.7219023108861616,165481.54766463718,219848.4299831125
ridge,0.7226414818988506,165318.63148308225,219556.06201341117
decision_tree,0.7414556331810691,152268.4288460982,211978.69704215295
random_forest,0.7638192209442181,141619.0979542874,202603.50481135113
xgboost,0.7828532684575223,138909.81374401506,194416.65197742308
